S. No.,Number of Threads per Block,Additions per thread,Time(ms)
1,32,1,2.62611
2,32,2,1.98122
3,32,4,1.95674
4,32,8,3.31219
5,32,16,4.6824
6,32,32,21.7928
7,32,64,29.8462
8,32,128,32.9713
9,32,256,33.6949
10,32,512,34.0096
2,64,1,1.48541
4,64,2,1.39616
6,64,4,1.65722
8,64,8,3.29235
10,64,16,14.5444
12,64,32,30.6732
14,64,64,34.5062
16,64,128,36.5484
18,64,256,36.3506
20,64,512,36.3096
3,128,1,1.19062
6,128,2,1.27786
9,128,4,1.65379
12,128,8,11.3652
15,128,16,16.3008
18,128,32,33.911
21,128,64,36.1913
24,128,128,37.5745
27,128,256,36.4512
30,128,512,39.9895
4,256,1,1.20214
8,256,2,1.29501
12,256,4,1.65408
16,256,8,11.0613
20,256,16,16.2533
24,256,32,33.9175
28,256,64,35.8635
32,256,128,37.6176
36,256,256,37.4441
40,256,512,39.8925
5,512,1,1.22227
10,512,2,1.29456
15,512,4,1.67325
20,512,8,10.9784
25,512,16,16.0907
30,512,32,33.291
35,512,64,36.0249
40,512,128,37.6216
45,512,256,38.0114
50,512,512,40.0886
